time,value
2024-07-15T14:13:05.892433263Z,{"lat":10.8329411437535,"lon":106.7703904266303}
2024-07-15T14:13:06.903774886Z,{"lat":10.832923820331219,"lon":106.77036112187302}
2024-07-15T14:13:07.922538846Z,{"lat":10.832909194870721,"lon":106.77033638105888}
2024-07-15T14:13:08.932939155Z,{"lat":10.832895685249552,"lon":106.77032846292055}
2024-07-15T14:13:09.960709097Z,{"lat":10.832911774070466,"lon":106.7703005786954}
2024-07-15T14:13:10.994405673Z,{"lat":10.832905790565144,"lon":106.77029086040923}
2024-07-15T14:13:11.982211722Z,{"lat":10.832947316102452,"lon":106.77024234182805}
2024-07-15T14:13:13.019434072Z,{"lat":10.832968784427631,"lon":106.77019289387822}
2024-07-15T14:13:14.022433461Z,{"lat":10.832982821942586,"lon":106.77015664785867}
2024-07-15T14:13:15.038587016Z,{"lat":10.833001974239318,"lon":106.77011620572134}
2024-07-15T14:13:16.064877689Z,{"lat":10.833016725906077,"lon":106.77008778769338}
2024-07-15T14:13:17.063043423Z,{"lat":10.833042953835287,"lon":106.77006429781076}
2024-07-15T14:13:18.082591235Z,{"lat":10.833064655271226,"lon":106.7700211791903}
2024-07-15T14:13:19.102317548Z,{"lat":10.83308275769153,"lon":106.76998521146078}
2024-07-15T14:13:20.123374707Z,{"lat":10.833100338611883,"lon":106.76995027990097}
2024-07-15T14:13:21.132637763Z,{"lat":10.833115406743122,"lon":106.76992034100738}
2024-07-15T14:13:22.16060426Z,{"lat":10.83312359402583,"lon":106.76988941156915}
2024-07-15T14:13:23.180135109Z,{"lat":10.83314916901359,"lon":106.76985579735648}
2024-07-15T14:13:24.16636193Z,{"lat":10.833162697654766,"lon":106.76982203413661}
2024-07-15T14:13:25.183941551Z,{"lat":10.833177288318593,"lon":106.76979675153737}
2024-07-15T14:13:26.202781033Z,{"lat":10.833193555430448,"lon":106.7697691468298}
2024-07-15T14:13:27.222390461Z,{"lat":10.833210161803937,"lon":106.76976370251494}
2024-07-15T14:13:28.290256021Z,{"lat":10.833222076485358,"lon":106.76973830944627}
2024-07-15T14:13:29.268878216Z,{"lat":10.83321509080573,"lon":106.7697355236289}
2024-07-15T14:13:30.262667117Z,{"lat":10.833213530530484,"lon":106.76972867479671}
2024-07-15T14:13:31.282622636Z,{"lat":10.833215613255927,"lon":106.7697162378182}
2024-07-15T14:13:32.303583575Z,{"lat":10.833216757987513,"lon":106.76968388423042}
2024-07-15T14:13:33.312601784Z,{"lat":10.833238160335195,"lon":106.76967644168863}
2024-07-15T14:13:34.346450667Z,{"lat":10.833241889523674,"lon":106.76965312181409}
2024-07-15T14:13:35.352178064Z,{"lat":10.833149903382763,"lon":106.76951545599447}
2024-07-15T14:13:36.362691272Z,{"lat":10.83310833923713,"lon":106.76947313763212}
2024-07-15T14:13:37.382037357Z,{"lat":10.833064999974445,"lon":106.76942901186321}
2024-07-15T14:13:38.382030043Z,{"lat":10.833026917089471,"lon":106.76939023786173}
2024-07-15T14:13:39.414485606Z,{"lat":10.832984392119663,"lon":106.76934694116592}
2024-07-15T14:13:40.407326576Z,{"lat":10.832947194857397,"lon":106.76930906886045}
2024-07-15T14:13:41.42683356Z,{"lat":10.832900444445832,"lon":106.76926147003242}
2024-07-15T14:13:42.453357515Z,{"lat":10.832862854197064,"lon":106.76922319839582}
2024-07-15T14:13:43.45625302Z,{"lat":10.832826926398496,"lon":106.76919436032644}
2024-07-15T14:13:44.48292757Z,{"lat":10.832786830034726,"lon":106.7691811378353}
2024-07-15T14:13:45.502774799Z,{"lat":10.83276411436684,"lon":106.76915472158348}
2024-07-15T14:13:46.51271412Z,{"lat":10.832731609733932,"lon":106.7691242069454}
2024-07-15T14:13:47.526627212Z,{"lat":10.832707705697567,"lon":106.76909781404787}
2024-07-15T14:13:48.553056167Z,{"lat":10.832708869042243,"lon":106.76906533366373}
2024-07-15T14:13:49.556287687Z,{"lat":10.832716070343684,"lon":106.76903262616732}
2024-07-15T14:13:50.588435331Z,{"lat":10.832744951737952,"lon":106.76900208938136}
2024-07-15T14:13:51.582541238Z,{"lat":10.832762846890812,"lon":106.76896429966403}
2024-07-15T14:13:52.60329718Z,{"lat":10.83279098357217,"lon":106.76892151490293}
2024-07-15T14:13:53.612121922Z,{"lat":10.832817168794792,"lon":106.76888169755256}
2024-07-15T14:13:54.632128003Z,{"lat":10.832846905630106,"lon":106.76883647960761}
2024-07-15T14:13:55.652221197Z,{"lat":10.832935701398503,"lon":106.76883320148303}
2024-07-15T14:13:56.662336837Z,{"lat":10.832977026848988,"lon":106.76878812972771}
2024-07-15T14:13:57.730491072Z,{"lat":10.833013041667627,"lon":106.76873946725294}
2024-07-15T14:13:58.704249418Z,{"lat":10.833063978391882,"lon":106.76869900232374}
2024-07-15T14:13:59.720916387Z,{"lat":10.833104803332786,"lon":106.76865260074885}
2024-07-15T14:14:00.733389637Z,{"lat":10.833134432842094,"lon":106.76862184748596}
2024-07-15T14:14:01.753132572Z,{"lat":10.833164014868352,"lon":106.76859191455353}
2024-07-15T14:14:02.764364117Z,{"lat":10.833183107832824,"lon":106.76856674782074}
2024-07-15T14:14:03.756431986Z,{"lat":10.833217228639915,"lon":106.76852396623144}
2024-07-15T14:14:04.765139655Z,{"lat":10.833256414154443,"lon":106.76849215306423}
2024-07-15T14:14:05.802295672Z,{"lat":10.833290903312918,"lon":106.76845729643168}
2024-07-15T14:14:06.813400906Z,{"lat":10.833331092464638,"lon":106.7684235408383}
2024-07-15T14:14:07.831076569Z,{"lat":10.833357019943367,"lon":106.76839865133724}
2024-07-15T14:14:08.839219996Z,{"lat":10.833381202104498,"lon":106.76836099864424}
2024-07-15T14:14:09.853328998Z,{"lat":10.833406931586019,"lon":106.76832973293043}
2024-07-15T14:14:10.856047438Z,{"lat":10.833437687232287,"lon":106.76829347595157}
2024-07-15T14:14:11.881585283Z,{"lat":10.833314109021284,"lon":106.76809969175441}
2024-07-15T14:14:12.918020552Z,{"lat":10.833307618969396,"lon":106.76803761544376}
2024-07-15T14:14:13.911023843Z,{"lat":10.833301086485013,"lon":106.76797454947682}
2024-07-15T14:14:14.914968785Z,{"lat":10.833352737464306,"lon":106.7679017958467}
2024-07-15T14:14:15.930765828Z,{"lat":10.833351830181812,"lon":106.76783713208448}
2024-07-15T14:14:16.951593649Z,{"lat":10.833351011503423,"lon":106.76777878332497}
2024-07-15T14:14:17.967330155Z,{"lat":10.833350200195149,"lon":106.76772095978538}
2024-07-15T14:14:18.982638747Z,{"lat":10.833349379261227,"lon":106.76766245024739}
2024-07-15T14:14:20.00745384Z,{"lat":10.833348667576901,"lon":106.76761172718881}
2024-07-15T14:14:21.061490549Z,{"lat":10.83334798384246,"lon":106.76756299614375}
2024-07-15T14:14:22.052557299Z,{"lat":10.833347220130271,"lon":106.76750817113998}
2024-07-15T14:14:23.025409297Z,{"lat":10.833346664205289,"lon":106.76746812580693}
2024-07-15T14:14:24.051693759Z,{"lat":10.833345967199033,"lon":106.76741791780462}
2024-07-15T14:14:25.061523295Z,{"lat":10.833345429833873,"lon":106.76737920934288}
2024-07-15T14:14:26.081879539Z,{"lat":10.833344887318045,"lon":106.7673401298599}
2024-07-15T14:14:27.149557293Z,{"lat":10.833344460722152,"lon":106.76730940049197}
2024-07-15T14:14:28.117150016Z,{"lat":10.833344092055547,"lon":106.76728284408834}
2024-07-15T14:14:29.125167623Z,{"lat":10.833343896367637,"lon":106.76726874787181}
2024-07-15T14:14:30.159386925Z,{"lat":10.833334676751633,"lon":106.76725539930041}
2024-07-15T14:14:31.1618863Z,{"lat":10.833375314871908,"lon":106.76724329111536}
2024-07-15T14:14:32.175815811Z,{"lat":10.833364561368823,"lon":106.76725022929635}
2024-07-15T14:14:33.201823937Z,{"lat":10.833360458951768,"lon":106.76725693932572}
2024-07-15T14:14:34.210357286Z,{"lat":10.833360474696198,"lon":106.76725807343749}
2024-07-15T14:14:35.20775598Z,{"lat":10.833360495112428,"lon":106.76725954399488}
2024-07-15T14:14:36.231534548Z,{"lat":10.833360510308495,"lon":106.76726063884846}
2024-07-15T14:14:37.255500066Z,{"lat":10.833477494917025,"lon":106.76724112237594}
2024-07-15T14:14:38.262290502Z,{"lat":10.83351782226212,"lon":106.7672452541204}
2024-07-15T14:14:39.291464171Z,{"lat":10.833563551465122,"lon":106.76724993931401}
2024-07-15T14:14:40.297168916Z,{"lat":10.83361321486942,"lon":106.76725502758367}
2024-07-15T14:14:41.313300686Z,{"lat":10.833664687321152,"lon":106.76726030119784}
2024-07-15T14:14:42.3055306Z,{"lat":10.833720120420857,"lon":106.76726598060004}
2024-07-15T14:14:43.327086071Z,{"lat":10.833779383988377,"lon":106.7672837304515}
2024-07-15T14:14:44.336753058Z,{"lat":10.833848254849698,"lon":106.76727575878193}
2024-07-15T14:14:45.362247955Z,{"lat":10.833992775360782,"lon":106.76726353052564}
2024-07-15T14:14:46.382245125Z,{"lat":10.834064337792833,"lon":106.76724966612797}
2024-07-15T14:14:47.391266409Z,{"lat":10.83413298814278,"lon":106.76722873156722}
2024-07-15T14:14:48.392517731Z,{"lat":10.834198337011465,"lon":106.76720080221675}
2024-07-15T14:14:49.41715823Z,{"lat":10.834259661641685,"lon":106.7671644281751}
2024-07-15T14:14:50.411351168Z,{"lat":10.834320004765035,"lon":106.76713330615071}
2024-07-15T14:14:51.594797871Z,{"lat":10.834378217521893,"lon":106.76709399682751}
2024-07-15T14:14:52.441767657Z,{"lat":10.83443666247822,"lon":106.76705718036027}
2024-07-15T14:14:53.455540537Z,{"lat":10.834494656623948,"lon":106.76701261019642}
2024-07-15T14:14:54.476103354Z,{"lat":10.834551076880178,"lon":106.76696644504437}
2024-07-15T14:14:55.502479493Z,{"lat":10.834607277862435,"lon":106.76692145422824}
2024-07-15T14:14:56.485283495Z,{"lat":10.834662142012588,"lon":106.76688155895889}
2024-07-15T14:14:57.504968933Z,{"lat":10.834709468130438,"lon":106.76685019516883}
2024-07-15T14:14:58.505275402Z,{"lat":10.834754770675998,"lon":106.76680980194942}
2024-07-15T14:14:59.536715985Z,{"lat":10.834795044976426,"lon":106.76678312181551}
2024-07-15T14:15:00.585236144Z,{"lat":10.834832933858769,"lon":106.76675339074396}
2024-07-15T14:15:01.572904169Z,{"lat":10.834860442604173,"lon":106.76672273329542}
2024-07-15T14:15:02.581145861Z,{"lat":10.83489089518366,"lon":106.76669537577285}
2024-07-15T14:15:03.591659375Z,{"lat":10.834922251111692,"lon":106.76666793467732}
2024-07-15T14:15:04.591489871Z,{"lat":10.834950988309851,"lon":106.76663995086784}
2024-07-15T14:15:05.611541514Z,{"lat":10.83497849013848,"lon":106.76662063392212}
2024-07-15T14:15:06.63249943Z,{"lat":10.834998628548785,"lon":106.76659636042093}
2024-07-15T14:15:07.647719828Z,{"lat":10.835018300436797,"lon":106.76657287780857}
2024-07-15T14:15:08.631786217Z,{"lat":10.835036418746375,"lon":106.76655318738351}
2024-07-15T14:15:09.649280299Z,{"lat":10.835053521083767,"lon":106.76653281093293}
2024-07-15T14:15:10.661493891Z,{"lat":10.835074346770494,"lon":106.76652087508283}
2024-07-15T14:15:11.682659211Z,{"lat":10.835093973645751,"lon":106.76650238471935}
2024-07-15T14:15:12.691523401Z,{"lat":10.835108495589097,"lon":106.7664896069359}
2024-07-15T14:15:13.710604246Z,{"lat":10.835123840367508,"lon":106.76647941392186}
2024-07-15T14:15:14.732732252Z,{"lat":10.83513306069096,"lon":106.76646914808816}
2024-07-15T14:15:15.741796445Z,{"lat":10.83513701056387,"lon":106.76646455201447}
2024-07-15T14:15:16.761085611Z,{"lat":10.835142007268475,"lon":106.76646063924602}
2024-07-15T14:15:17.781630803Z,{"lat":10.835145394333605,"lon":106.76646050814558}
2024-07-15T14:15:18.792236256Z,{"lat":10.835143447015643,"lon":106.76646057213854}
2024-07-15T14:15:19.807136182Z,{"lat":10.835144728310171,"lon":106.76646425887876}
2024-07-15T14:15:20.943023788Z,{"lat":10.835145435715374,"lon":106.76646273310202}
2024-07-15T14:15:21.818336379Z,{"lat":10.835152037034735,"lon":106.76645630963944}
2024-07-15T14:15:22.827014321Z,{"lat":10.835166145770062,"lon":106.76643705754239}
2024-07-15T14:15:23.835058113Z,{"lat":10.835187565506672,"lon":106.76642221596295}
2024-07-15T14:15:24.836741446Z,{"lat":10.835198660394795,"lon":106.76640507522235}
2024-07-15T14:15:25.857197828Z,{"lat":10.835219365915506,"lon":106.76637762711454}
2024-07-15T14:15:26.870221203Z,{"lat":10.835251098887209,"lon":106.7663568600611}
2024-07-15T14:15:27.891054133Z,{"lat":10.835277565620107,"lon":106.76633640778199}
2024-07-15T14:15:28.914924472Z,{"lat":10.835295423531788,"lon":106.76631626368366}
2024-07-15T14:15:29.926773417Z,{"lat":10.835393832112555,"lon":106.76632319080969}
2024-07-15T14:15:30.961461178Z,{"lat":10.83543613430508,"lon":106.76634664530856}
2024-07-15T14:15:31.958097002Z,{"lat":10.835482569497449,"lon":106.76637239140592}
2024-07-15T14:15:32.951630069Z,{"lat":10.835526990625464,"lon":106.7664158737183}
2024-07-15T14:15:33.977749718Z,{"lat":10.83558750852045,"lon":106.76644978958169}
2024-07-15T14:15:34.997309418Z,{"lat":10.835657009447264,"lon":106.76648730991101}
2024-07-15T14:15:36.007195892Z,{"lat":10.83572993135683,"lon":106.76652358949173}
2024-07-15T14:15:37.076936051Z,{"lat":10.835818309844944,"lon":106.76655854346207}
2024-07-15T14:15:38.041259772Z,{"lat":10.835899356253316,"lon":106.76662135211673}
2024-07-15T14:15:39.064915479Z,{"lat":10.835998773807756,"lon":106.76665860211979}
2024-07-15T14:15:40.062099301Z,{"lat":10.83608454446887,"lon":106.76672312146829}
2024-07-15T14:15:41.078072813Z,{"lat":10.836176381124291,"lon":106.7667719691523}
2024-07-15T14:15:42.087066793Z,{"lat":10.836265366922726,"lon":106.7668198506019}
2024-07-15T14:15:43.09178078Z,{"lat":10.83635113860778,"lon":106.76686758485941}
2024-07-15T14:15:44.12170894Z,{"lat":10.83643043964534,"lon":106.76690982679754}
2024-07-15T14:15:45.142361449Z,{"lat":10.83650116240094,"lon":106.7669500478112}
2024-07-15T14:15:46.150153383Z,{"lat":10.836571951499348,"lon":106.76699123194514}
2024-07-15T14:15:47.161697677Z,{"lat":10.8366440520797,"lon":106.76703191199667}
2024-07-15T14:15:48.171798411Z,{"lat":10.836720963722678,"lon":106.76707269725402}
2024-07-15T14:15:49.184471192Z,{"lat":10.836798850045865,"lon":106.76711950048278}
2024-07-15T14:15:50.218851189Z,{"lat":10.83688645151773,"lon":106.7671513773809}
2024-07-15T14:15:51.229000076Z,{"lat":10.836966285222868,"lon":106.76720939988392}
2024-07-15T14:15:52.25690812Z,{"lat":10.837055269446836,"lon":106.76725391245631}
2024-07-15T14:15:53.265197014Z,{"lat":10.837151090692995,"lon":106.7673041569818}
2024-07-15T14:15:54.279227089Z,{"lat":10.83724844559853,"lon":106.76735968101985}
2024-07-15T14:15:55.307693629Z,{"lat":10.837348359517613,"lon":106.76741581302413}
2024-07-15T14:15:56.303229538Z,{"lat":10.837447563815285,"lon":106.76747410364001}
2024-07-15T14:15:57.321457618Z,{"lat":10.837548346597265,"lon":106.76753015508078}
2024-07-15T14:15:58.348955832Z,{"lat":10.83776333715576,"lon":106.76764432828351}
2024-07-15T14:15:59.390993813Z,{"lat":10.837872534254183,"lon":106.76770308109}
2024-07-15T14:16:00.368501633Z,{"lat":10.83798280204676,"lon":106.76776282327286}
2024-07-15T14:16:01.389741084Z,{"lat":10.838091341380457,"lon":106.76782644250244}
2024-07-15T14:16:03.36399709Z,{"lat":10.838197969898044,"lon":106.76789354101402}
2024-07-15T14:16:03.689107161Z,{"lat":10.838303264748765,"lon":106.76796213374666}
2024-07-15T14:16:04.582406322Z,{"lat":10.838421911545145,"lon":106.76801319680929}
2024-07-15T14:16:05.465105584Z,{"lat":10.838535482443502,"lon":106.76807379204031}
2024-07-15T14:16:06.478824775Z,{"lat":10.838646315179796,"lon":106.76815198873713}
2024-07-15T14:16:07.500038424Z,{"lat":10.838767304096784,"lon":106.76821686462813}
2024-07-15T14:16:08.517830589Z,{"lat":10.838893310872804,"lon":106.76828201214725}
2024-07-15T14:16:09.527653392Z,{"lat":10.839018872175146,"lon":106.76834457844622}
2024-07-15T14:16:10.541884854Z,{"lat":10.839145262452616,"lon":106.76841171881158}
2024-07-15T14:16:11.559140902Z,{"lat":10.839273887759553,"lon":106.76848390009675}
2024-07-15T14:16:12.588265867Z,{"lat":10.839402752896985,"lon":106.76855752019007}
2024-07-15T14:16:13.590075653Z,{"lat":10.839527882789913,"lon":106.76863039511237}
2024-07-15T14:16:14.618158919Z,{"lat":10.839652353136257,"lon":106.76869931810565}
2024-07-15T14:16:15.630230858Z,{"lat":10.839771565860076,"lon":106.76876835657787}
2024-07-15T14:16:16.660670066Z,{"lat":10.839886614177455,"lon":106.76884044255632}
2024-07-15T14:16:17.661908919Z,{"lat":10.840001084273284,"lon":106.7689088477092}
2024-07-15T14:16:18.682077745Z,{"lat":10.840115759827233,"lon":106.76897391426039}
2024-07-15T14:16:19.692069446Z,{"lat":10.84022415717443,"lon":106.76903734405167}
2024-07-15T14:16:20.711994349Z,{"lat":10.840332607448676,"lon":106.76910369239094}
2024-07-15T14:16:21.952122456Z,{"lat":10.840442151752583,"lon":106.76916970144622}
2024-07-15T14:16:22.743019484Z,{"lat":10.840559784819773,"lon":106.76921941922566}
2024-07-15T14:16:23.751961883Z,{"lat":10.840668679298428,"lon":106.76928305068128}
2024-07-15T14:16:24.772261658Z,{"lat":10.84077567969537,"lon":106.76934557534909}
2024-07-15T14:16:25.79082855Z,{"lat":10.840869088587317,"lon":106.7694186224524}
2024-07-15T14:16:26.802071997Z,{"lat":10.84096529746012,"lon":106.76946549959649}
2024-07-15T14:16:27.822329327Z,{"lat":10.841051356602694,"lon":106.76950827828409}
2024-07-15T14:16:28.85259162Z,{"lat":10.841136930636758,"lon":106.76955192077314}
2024-07-15T14:16:29.872075863Z,{"lat":10.84122110874072,"lon":106.76959645193372}
2024-07-15T14:16:30.87241129Z,{"lat":10.841307587666922,"lon":106.76964588051746}
2024-07-15T14:16:31.876641451Z,{"lat":10.841386830179594,"lon":106.76969446828866}
2024-07-15T14:16:32.913121109Z,{"lat":10.841465752753578,"lon":106.76974202302094}
2024-07-15T14:16:33.916679877Z,{"lat":10.841545554803997,"lon":106.76978893907128}
2024-07-15T14:16:34.99800276Z,{"lat":10.84162508919414,"lon":106.76984042704744}
2024-07-15T14:16:35.956012954Z,{"lat":10.841705127973707,"lon":106.76989263882648}
2024-07-15T14:16:36.965785514Z,{"lat":10.841775763352869,"lon":106.76993593315905}
2024-07-15T14:16:37.994046298Z,{"lat":10.841842239961796,"lon":106.76997238019901}
2024-07-15T14:16:39.007173968Z,{"lat":10.841906502961901,"lon":106.77000730477721}
2024-07-15T14:16:40.019693989Z,{"lat":10.841969931699914,"lon":106.7700455789415}
2024-07-15T14:16:41.046382475Z,{"lat":10.842040319201832,"lon":106.77008459073585}
2024-07-15T14:16:42.056932465Z,{"lat":10.842113054122645,"lon":106.77012709049794}
2024-07-15T14:16:43.076985339Z,{"lat":10.84219091630721,"lon":106.77017404278392}
2024-07-15T14:16:44.098099459Z,{"lat":10.842267267552177,"lon":106.77021848162838}
2024-07-15T14:16:45.105650093Z,{"lat":10.842343391351166,"lon":106.77025993645941}
2024-07-15T14:16:46.125187529Z,{"lat":10.842416109014254,"lon":106.77030047189498}
2024-07-15T14:16:47.154074073Z,{"lat":10.842489695058383,"lon":106.77034254588301}
2024-07-15T14:16:48.166162573Z,{"lat":10.842563411268685,"lon":106.77038294370202}
2024-07-15T14:16:49.174113215Z,{"lat":10.84263876430196,"lon":106.77042504593432}
2024-07-15T14:16:50.20355849Z,{"lat":10.842712042761939,"lon":106.77046515967173}
2024-07-15T14:16:51.198078985Z,{"lat":10.84278398538995,"lon":106.7705081045074}
2024-07-15T14:16:52.274002131Z,{"lat":10.842853053995197,"lon":106.77054951441222}
2024-07-15T14:16:53.22793376Z,{"lat":10.842921188776346,"lon":106.77058808314061}
2024-07-15T14:16:54.273325492Z,{"lat":10.842985764705112,"lon":106.77062385372008}
2024-07-15T14:16:55.27425338Z,{"lat":10.843050564551392,"lon":106.77066196093882}
2024-07-15T14:16:56.310220616Z,{"lat":10.843116126602565,"lon":106.77069468685744}
2024-07-15T14:16:57.303705654Z,{"lat":10.843182278424218,"lon":106.77072996559711}
